Year ,78617,78652,78653,78660,78701,78702,78703,78704,78705,78717,78721,78722,78723,78724,78726,78727,78729,78730,78731,78735,78736,78739,78741,78744,78745,78746,78747,78748,78749,78750,78751,78752,78753,78754,78756,78757,78758,78759,Grand Total
2009,208,65,2,69,354,536,583,742,270,210,118,131,415,161,69,535,115,113,538,137,44,207,287,290,590,434,246,570,173,313,243,151,225,229,142,421,298,447,10907
2010,122,37,1,46,444,543,624,852,253,171,138,126,352,107,119,290,65,155,521,192,44,217,339,286,798,603,202,551,256,360,322,188,331,210,211,510,387,567,11772
2011,86,37,1,40,430,542,653,977,277,134,163,120,420,141,173,224,137,188,698,214,60,240,344,283,715,539,176,508,350,346,298,134,284,236,271,530,357,631,12169
2012,212,,1,31,559,631,716,1103,333,269,173,162,452,116,145,224,140,193,635,208,48,244,429,376,751,411,259,735,242,327,284,199,414,281,275,565,548,807,13741
2013,284,1,5,137,653,650,632,1096,327,431,169,160,580,165,172,276,131,213,714,193,57,244,590,655,664,413,386,616,319,349,313,172,512,327,256,652,443,697,15002
2014,210,73,,53,683,736,631,1152,274,375,222,144,616,260,160,263,115,185,611,202,79,303,507,500,827,408,352,554,313,256,297,232,590,398,238,751,515,646,15063
2015,261,29,2,122,596,960,676,1237,284,396,231,157,781,228,144,353,174,188,585,211,95,316,446,747,1049,414,204,490,342,286,289,288,524,292,230,715,513,659,15836
2016,278,130,107,310,615,904,581,1284,286,430,247,139,695,204,117,337,119,165,533,154,75,227,478,946,945,478,260,534,335,275,262,213,488,305,207,676,567,632,15839
2017,103,154,95,382,522,862,583,1044,305,527,413,165,741,311,100,261,176,166,561,242,157,220,565,701,754,461,420,632,365,281,253,229,505,402,208,556,478,580,15716
2018,200,136,220,538,670,817,577,1105,218,424,372,129,712,287,113,338,161,193,609,267,100,181,516,655,829,452,405,601,352,276,279,210,462,432,196,579,489,562,15906
2019,246,67,322,471,766,985,633,1243,358,450,335,151,677,499,118,291,121,145,718,185,137,169,452,915,970,447,526,496,336,337,309,249,482,484,255,657,518,620,17385
2020,226,127,158,441,498,634,523,981,257,332,316,121,713,553,109,267,116,149,560,176,50,205,370,989,756,345,590,336,280,223,225,264,340,324,202,550,467,396,14371
2021,173,173,206,333,314,391,340,677,111,194,196,66,535,295,123,199,50,78,399,110,31,116,230,615,529,280,260,251,262,194,112,144,187,233,142,373,284,344,9656
Grand Total,2958,1029,1127,3091,7901,10165,8739,15116,4192,4881,3356,1970,8763,3701,1845,4199,1741,2393,8389,2873,1060,3542,6029,8614,11087,6230,4700,8187,4219,4136,4041,2937,5908,4729,3202,8275,6457,8226,203628
