Zip Code,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78617,208,122,86,212,284,210,261,278,103,200,246,226,173
78652,65,37,37,0,1,73,29,130,154,136,67,127,173
78653,2,1,1,1,5,0,2,107,95,220,322,158,206
78660,69,46,40,31,137,53,122,310,382,538,471,441,333
78701,354,444,430,559,653,683,596,615,522,670,766,498,314
78702,536,543,542,631,650,736,960,904,862,817,985,634,391
78703,583,624,653,716,632,631,676,581,583,577,633,523,340
78704,742,852,977,1103,1096,1152,1237,1284,1044,1105,1243,981,677
78705,270,253,277,333,327,274,284,286,305,218,358,257,111
78717,210,171,134,269,431,375,396,430,527,424,450,332,194
78721,118,138,163,173,169,222,231,247,413,372,335,316,196
78722,131,126,120,162,160,144,157,139,165,129,151,121,66
78723,415,352,420,452,580,616,781,695,741,712,677,713,535
78724,161,107,141,116,165,260,228,204,311,287,499,553,295
78726,69,119,173,145,172,160,144,117,100,113,118,109,123
78727,535,290,224,224,276,263,353,337,261,338,291,267,199
78729,115,65,137,140,131,115,174,119,176,161,121,116,50
78730,113,155,188,193,213,185,188,165,166,193,145,149,78
78731,538,521,698,635,714,611,585,533,561,609,718,560,399
78735,137,192,214,208,193,202,211,154,242,267,185,176,110
78736,44,44,60,48,57,79,95,75,157,100,137,50,31
78739,207,217,240,244,244,303,316,227,220,181,169,205,116
78741,287,339,344,429,590,507,446,478,565,516,452,370,230
78744,290,286,283,376,655,500,747,946,701,655,915,989,615
78745,590,798,715,751,664,827,1049,945,754,829,970,756,529
78746,434,603,539,411,413,408,414,478,461,452,447,345,280
78747,246,202,176,259,386,352,204,260,420,405,526,590,260
78748,570,551,508,735,616,554,490,534,632,601,496,336,251
78749,173,256,350,242,319,313,342,335,365,352,336,280,262
78750,313,360,346,327,349,256,286,275,281,276,337,223,194
78751,243,322,298,284,313,297,289,262,253,279,309,225,112
78752,151,188,134,199,172,232,288,213,229,210,249,264,144
78753,225,331,284,414,512,590,524,488,505,462,482,340,187
78754,229,210,236,281,327,398,292,305,402,432,484,324,233
78756,142,211,271,275,256,238,230,207,208,196,255,202,142
78757,421,510,530,565,652,751,715,676,556,579,657,550,373
78758,298,387,357,548,443,515,513,567,478,489,518,467,284
78759,447,567,631,807,697,646,659,632,580,562,620,396,344
