,78617,78660,78701,78702,78703,78704,78705,78717,78721,78723,78724,78727,78729,78730,78731,78735,78739,78741,78744,78745,78746,78747,78748,78749,78750,78751,78752,78753,78754,78756,78757,78758,78759,Grand Total
1980,4,12,60,169,153,209,74,,48,75,61,133,29,6,216,12,,77,237,397,224,34,45,128,80,63,83,87,15,35,112,285,435,3598
1981,138,22,220,268,268,419,152,3,88,116,118,346,58,21,349,100,7,212,552,841,572,46,128,338,208,133,160,444,24,87,275,554,658,7925
1982,168,47,242,309,322,565,193,2,110,145,127,494,256,19,344,83,19,227,728,790,541,72,421,550,247,154,172,524,42,120,285,542,555,9415
1983,136,75,297,368,359,598,204,,162,187,247,660,281,75,543,169,19,282,728,625,656,89,767,678,480,148,169,488,84,113,352,937,739,11715
1984,123,141,359,468,438,672,214,4,210,292,261,840,568,100,912,203,66,463,694,679,894,102,773,448,495,220,268,536,244,150,457,1035,791,14120
1985,257,138,338,419,445,753,223,17,164,339,448,558,1114,77,643,117,88,354,399,578,646,93,388,321,239,224,276,659,242,199,531,1269,691,13247
1986,199,68,346,366,438,527,254,15,153,282,349,282,350,66,443,107,40,313,643,558,424,158,677,660,169,205,221,570,145,153,455,1352,533,11521
1987,112,145,307,388,423,555,213,5,122,317,201,83,332,63,474,84,73,270,456,551,428,38,377,238,170,173,244,440,102,149,475,1051,487,9546
1988,64,86,316,264,367,558,285,4,81,280,175,88,247,57,432,93,226,243,277,560,391,48,225,290,248,148,197,321,110,122,429,1004,491,8727
1989,75,51,245,305,341,642,193,9,87,268,84,96,245,57,393,121,153,198,267,410,411,39,165,199,160,152,192,309,81,140,421,1155,468,8132
1990,40,74,231,258,305,585,200,5,68,203,92,71,210,60,416,116,119,161,191,385,350,29,103,259,156,145,174,202,160,128,348,1095,396,7335
1991,29,111,265,309,345,617,182,1,118,166,74,138,222,79,354,61,34,206,210,378,333,30,95,379,161,156,176,205,113,271,339,573,507,7237
1992,32,199,364,254,394,753,160,2,89,180,99,152,268,225,346,50,83,202,227,390,443,51,124,396,137,150,124,305,121,173,335,278,669,7775
1993,47,178,412,300,354,630,177,,97,169,146,257,260,200,350,99,159,243,320,377,469,37,226,474,152,187,135,395,104,193,300,317,739,8503
1994,48,109,381,369,442,544,201,38,94,160,213,270,383,174,358,111,190,231,355,346,342,29,343,521,159,213,155,298,139,233,313,354,750,8866
1995,74,66,282,379,501,706,192,104,116,171,400,310,391,182,340,114,128,272,330,349,396,33,403,440,129,205,155,234,344,316,337,247,584,9230
1996,155,132,309,349,446,757,162,151,148,161,425,346,273,153,359,332,3,424,572,406,442,154,515,354,280,213,193,329,277,197,356,312,579,10264
