,zpid,city,zipcode,homeType,yearBuilt,latestPrice,numPriceChanges,avgSchoolDistance,Candidate
0,111373431,pflugerville,78660,Single Family,2012,305000.0,5,1.2666666666666668,1
1,120900430,pflugerville,78660,Single Family,2013,295000.0,1,1.4,1
2,2084491383,pflugerville,78660,Single Family,2018,256125.0,1,1.2,1
3,120901374,pflugerville,78660,Single Family,2013,240000.0,4,1.4,1
4,60134862,pflugerville,78660,Single Family,2002,239900.0,3,1.1333333333333335,1
5,2080105342,pflugerville,78660,Single Family,2020,309045.0,2,1.0666666666666669,1
6,241932337,pflugerville,78660,Single Family,2016,315000.0,2,1.2333333333333334,1
7,60134835,pflugerville,78660,Single Family,2002,219900.0,2,1.1666666666666667,1
8,60134833,pflugerville,78660,Single Family,2002,225000.0,1,1.1666666666666667,1
9,83827468,del valle,78617,Single Family,2013,194800.0,1,1.2,0
10,241932327,pflugerville,78660,Single Family,2016,279900.0,2,1.2,1
11,241930967,del valle,78617,Single Family,2016,250000.0,1,1.2,0
12,69808966,del valle,78617,Single Family,2005,239900.0,9,0.6333333333333333,0
13,64520966,del valle,78617,Single Family,2003,200000.0,1,1.8333333333333333,0
14,83813460,del valle,78617,Single Family,2010,131679.0,5,1.2333333333333334,0
15,29470450,del valle,78617,Single Family,2000,200000.0,1,1.4666666666666668,0
16,70341946,del valle,78617,Single Family,2009,212000.0,5,0.5666666666666667,0
17,116080992,austin,78717,Single Family,2014,687850.0,13,3.266666666666667,0
18,88013985,austin,78717,Single Family,2007,409000.0,4,1.933333333333333,0
19,70344594,austin,78724,Single Family,2006,199000.0,3,2.4333333333333336,0
20,185217484,austin,78717,Single Family,2008,400000.0,2,1.9,0
21,121719682,austin,78717,Residential,2015,699000.0,1,3.266666666666667,0
22,116080981,austin,78717,Single Family,2013,549900.0,2,3.2999999999999994,0
23,83822421,austin,78747,Mobile / Manufactured,2007,350000.0,6,5.2,0
24,29462564,austin,78725,Single Family,1999,240000.0,2,1.8,0
25,70355992,austin,78725,Single Family,2013,249900.0,1,1.9666666666666668,0
26,89659978,austin,78717,Single Family,2010,400000.0,2,2.0333333333333337,0
27,70355990,austin,78725,Single Family,2012,200000.0,1,1.9666666666666668,0
28,70333917,austin,78726,Single Family,2004,875000.0,2,2.066666666666667,0
29,29471292,austin,78747,Single Family,1970,164995.0,4,4.766666666666667,0
30,241932966,austin,78744,Single Family,2016,287500.0,2,2.9,1
31,116080975,austin,78717,Single Family,2013,650000.0,1,3.3000000000000003,0
32,145656987,austin,78725,Single Family,2015,196000.0,1,1.9333333333333336,0
33,83821490,austin,78747,Single Family,1985,239999.0,5,5.366666666666667,0
34,70333915,austin,78726,Single Family,2005,830000.0,5,2.0,0
35,29462467,austin,78725,Single Family,2000,219990.0,1,1.7666666666666666,0
36,89548387,austin,78725,Single Family,2009,195000.0,1,3.266666666666667,0
37,29366912,austin,78732,Single Family,2005,4250000.0,7,4.1000000000000005,0
38,241932964,austin,78744,Single Family,2016,309999.0,1,2.9,1
39,29376494,austin,78726,Single Family,1988,427000.0,5,1.2333333333333332,0
40,69808963,austin,78725,Single Family,2006,205000.0,2,1.9,0
41,121656950,austin,78747,Single Family,2013,300000.0,4,4.9,0
42,185217474,austin,78717,Single Family,2008,344600.0,3,2.0,0
43,29366911,austin,78732,Single Family,1992,3395000.0,9,4.166666666666667,0
44,145657963,austin,78744,Single Family,2015,399900.0,1,3.1333333333333333,1
45,29370494,austin,78750,Single Family,1991,648000.0,6,1.1666666666666667,0
46,89548844,austin,78725,Single Family,2009,186500.0,1,3.3000000000000003,0
47,125901465,austin,78725,Single Family,2015,219000.0,1,1.9,0
48,63228462,austin,78725,Single Family,2004,179900.0,1,1.8333333333333333,0
49,96639474,austin,78729,Single Family,2011,405000.0,1,2.3000000000000003,0
50,80094409,austin,78732,Single Family,2006,2950000.0,4,3.533333333333333,0
51,64431038,austin,78747,Single Family,1993,565000.0,1,4.633333333333334,0
52,89547842,austin,78725,Single Family,2014,194098.0,1,3.333333333333333,0
53,251030464,austin,78724,Single Family,2018,255700.0,2,2.2,0
54,29376491,austin,78726,Single Family,1989,495000.0,1,1.2333333333333334,0
55,241932962,austin,78744,Single Family,2016,325000.0,4,2.9,1
56,64729016,austin,78719,Single Family,1982,250000.0,1,4.833333333333333,0
57,70355962,austin,78725,Single Family,2006,198500.0,4,1.8666666666666665,0
58,29376490,austin,78726,Single Family,1990,485000.0,1,1.2333333333333334,0
59,29366907,austin,78732,Single Family,1996,5495000.0,5,4.166666666666667,0
60,250825472,austin,78717,Single Family,2016,440000.0,1,2.1,0
61,89550834,austin,78725,Single Family,2010,225000.0,2,3.3000000000000003,0
62,64674953,austin,78725,Single Family,2003,207900.0,4,1.633333333333333,0
63,29374483,austin,78750,Single Family,1976,575000.0,1,1.2,0
64,29461422,austin,78725,Single Family,1996,200000.0,1,1.7666666666666666,0
65,116080970,austin,78717,Single Family,2016,675000.0,2,3.266666666666667,0
66,70333905,austin,78726,Single Family,2011,975000.0,1,1.9,0
67,29557482,austin,78729,Single Family,1976,259000.0,2,1.7666666666666666,0
68,241932948,austin,78744,Single Family,2016,275000.0,1,2.9,1
69,29461406,austin,78725,Single Family,1997,199999.0,4,1.7333333333333334,0
70,2081704483,austin,78725,Single Family,2020,268729.0,5,3.1333333333333333,0
71,116080962,austin,78717,Single Family,2013,625000.0,1,3.266666666666667,0
