,zpid,city,zipcode,homeType,yearBuilt,latestPrice,numPriceChanges,avgSchoolDistance,Candidate,avgSchoolRating,latest_saleyear,propertyTaxRate
9,83827468,del valle,78617,Single Family,2013,194800,1,1.2,0,3,2018,1.98
11,241930967,del valle,78617,Single Family,2016,250000,1,1.2,0,3,2019,1.98
12,69808966,del valle,78617,Single Family,2005,239900,9,0.633333333,0,3.333333333,2020,1.98
13,64520966,del valle,78617,Single Family,2003,200000,1,1.833333333,0,3,2018,1.98
14,83813460,del valle,78617,Single Family,2010,131679,5,1.233333333,0,3,2020,1.98
15,29470450,del valle,78617,Single Family,2000,200000,1,1.466666667,0,3,2020,1.98
16,70341946,del valle,78617,Single Family,2009,212000,5,0.566666667,0,3.333333333,2019,1.98
232,246905609,del valle,78617,Single Family,2017,289900,7,4.033333333,0,3,2019,1.98
604,80104443,del valle,78617,Single Family,2009,179900,2,0.8,0,3.333333333,2018,1.98
611,70341938,del valle,78617,Single Family,2008,195000,1,0.6,0,3.333333333,2019,1.98
619,80102437,del valle,78617,Single Family,2008,79000,9,0.8,0,3.333333333,2019,1.98
627,70345937,del valle,78617,Single Family,2005,150000,4,0.766666667,0,3.333333333,2019,1.98
633,29469933,del valle,78617,Single Family,1996,200000,1,1.633333333,0,3,2020,1.98
644,83833429,del valle,78617,Single Family,2013,199800,4,1.266666667,0,3,2020,1.98
654,29470429,del valle,78617,Single Family,2001,205000,1,1.433333333,0,3,2020,1.98
663,83819425,del valle,78617,Single Family,2007,210000,2,1.3,0,3,2018,1.98
671,80087925,del valle,78617,Single Family,2008,189400,2,0.733333333,0,3.333333333,2018,1.98
679,70341923,del valle,78617,Single Family,2009,269000,3,0.533333333,0,3.333333333,2019,1.98
689,29470419,del valle,78617,Single Family,1998,199900,1,1.4,0,3,2019,1.98
696,145657415,del valle,78617,Single Family,2016,280000,1,1.166666667,0,3,2018,1.98
702,251029914,del valle,78617,Single Family,2017,236900,1,1.166666667,0,3,2019,1.98
710,70345913,del valle,78617,Single Family,2006,174900,3,0.733333333,0,3.333333333,2018,1.98
720,83830909,del valle,78617,Single Family,2011,164900,4,1.2,0,3,2020,1.98
730,70345908,del valle,78617,Single Family,2006,187500,3,0.733333333,0,3.333333333,2018,1.98
738,70341902,del valle,78617,Single Family,2006,249000,2,0.533333333,0,3,2020,1.98
746,63712399,del valle,78617,Single Family,2004,169000,1,0.633333333,0,3,2020,1.98
761,29470395,del valle,78617,Single Family,1999,199900,3,1.533333333,0,3.333333333,2020,1.98
771,29470392,del valle,78617,Single Family,1999,184000,1,1.533333333,0,3,2018,1.98
777,83826891,del valle,78617,Single Family,2013,205000,3,1.233333333,0,3.333333333,2019,1.98
788,83813891,del valle,78617,Single Family,2014,195000,2,1.233333333,0,3,2020,1.98
797,70345883,del valle,78617,Single Family,2007,215000,1,0.666666667,0,3,2018,1.98
806,70345882,del valle,78617,Single Family,2006,179900,2,0.666666667,0,3,2019,1.98
825,80096879,del valle,78617,Single Family,2008,200000,1,0.6,0,3,2019,1.98
846,70345876,del valle,78617,Single Family,2012,196000,2,0.733333333,0,3,2018,1.98
861,70341872,del valle,78617,Single Family,2005,194900,2,0.633333333,0,3.333333333,2020,1.98
875,29470367,del valle,78617,Single Family,2001,191000,1,1.566666667,0,3,2019,1.98
883,70341866,del valle,78617,Single Family,2006,185000,2,0.633333333,0,3,2019,1.98
890,70342359,del valle,78617,Single Family,2010,205000,3,1.633333333,0,7,2018,1.98
901,64488353,del valle,78617,Single Family,2004,199000,2,0.566666667,0,3.333333333,2018,1.98
905,70345852,del valle,78617,Single Family,2006,207000,4,0.666666667,0,3.333333333,2019,1.98
911,70342345,del valle,78617,Single Family,2015,210000,2,1.8,0,3,2018,1.98
922,70345844,del valle,78617,Single Family,2005,198000,2,0.7,0,3.333333333,2018,1.98
929,70342344,del valle,78617,Single Family,2010,210000,1,1.8,0,3.333333333,2018,1.98
939,80098843,del valle,78617,Single Family,2009,199900,3,0.833333333,0,7,2020,1.98
946,70341841,del valle,78617,Single Family,2010,221999,1,0.5,0,3,2020,1.98
952,70345835,del valle,78617,Single Family,2005,160000,2,0.666666667,0,3.333333333,2018,1.98
959,29470334,del valle,78617,Single Family,1996,219900,2,1.533333333,0,3,2018,1.98
965,29470332,del valle,78617,Single Family,1997,170000,1,1.6,0,3,2020,1.98
973,70345827,del valle,78617,Single Family,2006,184945,1,0.6,0,3,2018,1.98
990,64650811,del valle,78617,Single Family,2003,200000,1,1.833333333,0,3,2019,1.98
996,29470310,del valle,78617,Single Family,1997,175000,7,1.533333333,0,7,2019,1.98
1004,62576806,del valle,78617,Single Family,2003,194900,1,1.733333333,0,3.333333333,2018,1.98
1011,63351795,del valle,78617,Single Family,2004,183500,1,0.566666667,0,3,2019,1.98
1046,80100763,del valle,78617,Single Family,2007,215000,3,0.733333333,0,3.333333333,2019,1.98
1054,64601258,del valle,78617,Single Family,2003,190000,3,1.833333333,0,3,2019,1.98
1066,80088255,del valle,78617,Single Family,2006,209999,4,0.766666667,0,3.333333333,2019,1.98
1097,241930737,del valle,78617,Single Family,2017,249990,1,1.2,0,3.333333333,2020,1.98
1114,80088492,del valle,78617,Single Family,2009,215000,2,0.9,0,3,2020,1.98
1136,83826716,del valle,78617,Single Family,2013,210000,1,1.266666667,0,3,2019,1.98
1144,70348711,del valle,78617,Single Family,2005,215000,1,1.233333333,0,7,2020,1.98
1161,70334702,del valle,78617,Single Family,2005,166000,7,0.466666667,0,3.333333333,2019,1.98
1181,145658189,del valle,78617,Single Family,2015,229900,4,1.2,0,3,2019,1.98
1196,80089988,del valle,78617,Single Family,2006,179900,2,1.233333333,0,3,2018,1.98
1205,83831657,del valle,78617,Single Family,2007,199000,1,1.166666667,0,3.333333333,2018,1.98
1219,58311653,del valle,78617,Single Family,2001,199000,2,1.5,0,3,2019,1.98
1226,124836616,del valle,78617,Single Family,2014,233000,6,1.133333333,0,3.333333333,2018,1.98
1244,70356608,del valle,78617,Single Family,2005,160000,4,1.233333333,0,3,2020,1.98
1253,80100595,del valle,78617,Single Family,2007,214990,1,0.633333333,0,3,2018,1.98
1257,63228478,del valle,78617,Single Family,2004,111500,1,0.6,0,3.333333333,2018,1.98
1263,69809089,del valle,78617,Single Family,2006,199000,1,0.733333333,0,3,2019,1.98
1270,63838089,del valle,78617,Single Family,2004,74000,7,1.7,0,3,2020,1.98
1283,83815079,del valle,78617,Single Family,2013,195000,3,1.233333333,0,3,2019,1.98
1289,79977079,del valle,78617,Single Family,2007,185000,1,0.833333333,0,3,2019,1.98
1296,89546577,del valle,78617,Single Family,2012,218900,2,0.666666667,0,3,2019,1.98
1304,79977077,del valle,78617,Single Family,2007,144900,2,0.733333333,0,3.333333333,2019,1.98
1312,83833074,del valle,78617,Single Family,2007,194900,1,1.166666667,0,3,2019,1.98
1333,241930567,del valle,78617,Single Family,2016,229900,1,1.2,0,3.333333333,2020,1.98
1353,145656041,del valle,78617,Single Family,2015,250000,1,1.233333333,0,3,2019,1.98
1361,70342041,del valle,78617,Single Family,2012,199990,1,0.633333333,0,3.333333333,2019,1.98
1377,63838037,del valle,78617,Single Family,2004,228000,3,0.6,0,3,2020,1.98
1388,63838036,del valle,78617,Single Family,2004,179900,3,0.633333333,0,3,2020,1.98
1393,83832020,del valle,78617,Single Family,2013,214990,3,1.233333333,0,3,2020,1.98
1398,83814520,del valle,78617,Single Family,2008,77500,7,1.166666667,0,3.333333333,2020,1.98
1403,63838016,del valle,78617,Single Family,2004,215000,3,0.566666667,0,3,2019,1.98
4108,29464967,del valle,78617,Apartment,1982,260000,3,4.9,0,3,2019,1.98
13955,80093853,del valle,78617,Condo,2006,137500,6,1.266666667,0,3.333333333,2019,1.98
821,303838934,austin,78652,Single Family,2018,480000,1,4.7,0,3,2019,1.98
5290,2081034813,manchaca,78652,Single Family,2020,392735,1,1.466666667,0,3,2020,1.98
7162,241933386,manchaca,78652,Single Family,2016,299500,1,1.466666667,0,3,2018,1.98
7358,2081020538,manchaca,78652,Single Family,2020,329124,3,1.466666667,0,3,2018,1.98
1297,64751528,manor,78653,Vacant Land,2003,619900,7,3.866666667,0,3,2019,1.98
10832,305429202,austin,78653,Single Family,2018,269990,1,3.1,0,3,2018,1.98
10974,29431946,manor,78653,Single Family,1980,119900,2,3.1,0,3,2019,1.98
11014,2079811780,manor,78653,Single Family,2020,324990,1,2.133333333,0,3.333333333,2018,1.98
0,111373431,pflugerville,78660,Single Family,2012,305000,5,1.266666667,1,3.333333333,2018,1.98
1,120900430,pflugerville,78660,Single Family,2013,295000,1,1.4,1,3.333333333,2018,1.98
2,2084491383,pflugerville,78660,Single Family,2018,256125,1,1.2,1,3,2019,1.98
3,120901374,pflugerville,78660,Single Family,2013,240000,4,1.4,1,3.666666667,2018,1.98
4,60134862,pflugerville,78660,Single Family,2002,239900,3,1.133333333,1,3,2018,1.98
5,2080105342,pflugerville,78660,Single Family,2020,309045,2,1.066666667,1,3.333333333,2018,1.98
6,241932337,pflugerville,78660,Single Family,2016,315000,2,1.233333333,1,3.333333333,2019,1.98
7,60134835,pflugerville,78660,Single Family,2002,219900,2,1.166666667,1,3.333333333,2020,1.98
8,60134833,pflugerville,78660,Single Family,2002,225000,1,1.166666667,1,3,2019,1.98
10,241932327,pflugerville,78660,Single Family,2016,279900,2,1.2,1,3,2019,1.98
85,111373282,pflugerville,78660,Single Family,2011,287500,3,1.333333333,1,3,2019,1.98
98,111371253,pflugerville,78660,Single Family,2011,225000,5,1.333333333,1,3,2019,1.98
106,251030246,pflugerville,78660,Single Family,2017,285000,1,1.2,1,3,2020,1.98
122,114405230,pflugerville,78660,Single Family,2011,293300,6,1.3,1,3.333333333,2020,1.98
136,120898222,pflugerville,78660,Single Family,2013,299900,5,1.4,1,3,2020,1.98
179,120896203,pflugerville,78660,Single Family,2013,315000,1,1.4,1,3.333333333,2020,1.98
192,2087686692,pflugerville,78660,Single Family,2017,289000,1,1.233333333,1,3.333333333,2020,1.98
254,305432656,pflugerville,78660,Single Family,2020,335269,1,1.566666667,1,3,2018,1.98
289,249912949,pflugerville,78660,Single Family,2019,336990,1,1.3,1,3,2020,1.98
299,241936636,pflugerville,78660,Single Family,2017,249900,3,1.2,1,3.333333333,2020,1.98
307,120290135,pflugerville,78660,Single Family,2013,304000,1,1.4,1,3.333333333,2018,1.98
314,241936634,pflugerville,78660,Single Family,2016,274900,1,1.233333333,1,3,2020,1.98
332,241936631,pflugerville,78660,Single Family,2016,254990,1,1.2,1,3,2021,1.98
363,119984117,pflugerville,78660,Single Family,2013,300000,1,1.3,1,7,2020,2.01
370,241936613,pflugerville,78660,Single Family,2016,289500,1,1.233333333,1,3,2019,1.98
386,241936608,pflugerville,78660,Single Family,2016,309900,2,1.2,1,3.666666667,2020,1.98
395,241936607,pflugerville,78660,Condo,2016,265000,1,1.2,1,3.666666667,2020,1.98
423,249891101,pflugerville,78660,Single Family,2019,311250,2,1.266666667,1,3,2019,1.98
